payment_id,order_id,settled_at,gateway_status,captured_amount,fee,tax,refund_amount,is_settlement_eligible,net_settlement
pay_6003,ORD_2003,2026-09-04T06:00:00,CAPTURED,1955.50,39.11,7.04,0.00,True,1909.35
pay_6004,ORD_2004,2026-09-04T06:00:00,CAPTURED,2183.25,43.67,7.86,0.00,True,2131.72
pay_6005,ORD_2005,2026-09-04T06:00:00,CAPTURED,2411.00,48.22,8.68,0.00,True,2354.10
pay_6006,ORD_2006,2026-09-04T06:00:00,CAPTURED,2638.75,52.78,9.50,0.00,True,2576.47
pay_6007,ORD_2007,2026-09-04T06:00:00,CAPTURED,2866.50,57.33,10.32,0.00,True,2798.85
pay_6008,ORD_2008,2026-09-04T06:00:00,CAPTURED,2518.50,50.37,9.07,0.00,False,0.00
pay_6009,ORD_2009,2026-09-04T06:00:00,CAPTURED,2746.25,54.93,9.89,0.00,False,0.00
pay_6010,ORD_2010,2026-09-04T06:00:00,CAPTURED,2974.00,89.22,16.06,0.00,True,2868.72
pay_6011,ORD_2011,2026-09-04T06:00:00,CAPTURED,3201.75,64.04,11.53,0.00,True,3126.18
pay_6012,ORD_2012,2026-09-04T06:00:00,CAPTURED,3429.50,68.59,12.35,0.00,True,3348.56
pay_6013,ORD_2013,2026-09-04T06:00:00,FAILED_BANK_DEBIT,0.00,0.00,0.00,0.00,False,0.00
pay_6014,ORD_2014,2026-09-04T06:00:00,CAPTURED,3885.00,77.70,13.99,0.00,True,3793.31
pay_6015,ORD_2015,2026-09-04T06:00:00,CAPTURED,3537.00,70.74,12.73,450.00,True,3003.53
pay_6016,ORD_2016,2026-09-04T06:00:00,CAPTURED,3764.75,75.30,13.55,450.00,True,3225.90
pay_6017,ORD_2017,2026-09-04T06:00:00,CAPTURED,3992.50,79.85,14.37,0.00,True,3898.28
pay_6018,ORD_2018,2026-09-04T06:00:00,CAPTURED,4220.25,84.41,15.19,0.00,True,4120.65
pay_6019,ORD_2019,2026-09-04T06:00:00,CAPTURED,4448.00,133.44,24.02,0.00,True,4290.54
pay_6020,ORD_2020,2026-09-04T06:00:00,CAPTURED,4675.75,93.52,16.83,0.00,True,4565.40
pay_6021,ORD_2021,2026-09-04T06:00:00,CAPTURED,4903.50,98.07,17.65,0.00,True,4787.78
pay_6022,ORD_2022,2026-09-04T06:00:00,CAPTURED,4555.50,91.11,16.40,0.00,True,4447.99
pay_6023,ORD_2023,2026-09-04T06:00:00,CAPTURED,4783.25,95.67,17.22,0.00,True,4520.36
pay_6024,ORD_2024,2026-09-04T06:00:00,CAPTURED,5011.00,100.22,18.04,0.00,True,4892.74
pay_6025,ORD_2025,2026-09-04T06:00:00,CAPTURED,5238.75,104.78,18.86,0.00,True,5115.11
pay_6026,ORD_2026,2026-09-04T06:00:00,DISPUTED,5466.50,109.33,19.68,0.00,False,0.00
pay_6027,ORD_2027,2026-09-04T06:00:00,CAPTURED,5694.25,113.89,20.50,0.00,True,5559.86
pay_6028,ORD_2028,2026-09-04T06:00:00,CAPTURED,5922.00,177.66,31.98,0.00,True,5712.36
pay_6029,ORD_2029,2026-09-04T06:00:00,CAPTURED,5574.00,111.48,20.07,0.00,True,5442.45
pay_6030,ORD_2030,2026-09-04T06:00:00,CAPTURED,5801.75,116.04,20.89,0.00,True,5664.82
pay_6031,ORD_2031,2026-09-04T06:00:00,CAPTURED,6029.50,120.59,21.71,0.00,True,5887.20
pay_6032,ORD_2032,2026-09-04T06:00:00,CAPTURED,6257.25,125.15,22.53,0.00,True,6109.57
pay_6033,ORD_2033,2026-09-04T06:00:00,CAPTURED,6485.00,129.70,23.35,0.00,True,6331.95
pay_6034,ORD_2034,2026-09-04T06:00:00,CAPTURED,6712.75,134.26,24.17,0.00,True,6554.32
pay_6035,ORD_2035,2026-09-04T06:00:00,CAPTURED,6940.50,138.81,24.99,0.00,True,6776.70
pay_6036,ORD_2036,2026-09-04T06:00:00,CAPTURED,6592.50,131.85,23.73,0.00,True,6436.92
pay_6037,ORD_2037,2026-09-04T06:00:00,CAPTURED,6820.25,204.61,36.83,0.00,True,6578.81
pay_6038,ORD_2038,2026-09-04T06:00:00,CAPTURED,7048.00,140.96,25.37,0.00,True,6881.67
pay_6039,ORD_2039,2026-09-04T06:00:00,CAPTURED,7275.75,145.52,26.19,0.00,True,7104.04
pay_6040,ORD_2040,2026-09-04T06:00:00,CAPTURED,7503.50,150.07,27.01,0.00,True,7326.42
pay_6041,ORD_2041,2026-09-04T06:00:00,CAPTURED,7731.25,154.63,27.83,0.00,True,7548.79
pay_6042,ORD_2042,2026-09-04T06:00:00,CAPTURED,7959.00,159.18,28.65,0.00,True,7771.17
pay_6043,ORD_2043,2026-09-04T06:00:00,CAPTURED,7611.00,152.22,27.40,0.00,True,7431.38
pay_6044,ORD_2044,2026-09-04T06:00:00,CAPTURED,7838.75,156.78,28.22,0.00,True,7653.75
pay_6045,ORD_2045,2026-09-04T06:00:00,CAPTURED,8066.50,161.33,29.04,0.00,True,7876.13
