payment_id,order_id,settled_at,gateway_status,captured_amount,fee,tax,refund_amount,is_settlement_eligible,net_settlement
pay_9003,ORD_5003,2026-09-07T06:00:00,CAPTURED,1955.50,39.11,7.04,0.00,True,1909.35
pay_9004,ORD_5004,2026-09-07T06:00:00,CAPTURED,2183.25,43.67,7.86,0.00,True,2131.72
pay_9005,ORD_5005,2026-09-07T06:00:00,CAPTURED,2411.00,48.22,8.68,0.00,True,2354.10
pay_9006,ORD_5006,2026-09-07T06:00:00,CAPTURED,2638.75,52.78,9.50,0.00,True,2576.47
pay_9007,ORD_5007,2026-09-07T06:00:00,CAPTURED,2866.50,57.33,10.32,0.00,True,2798.85
pay_9008,ORD_5008,2026-09-07T06:00:00,CAPTURED,2518.50,50.37,9.07,0.00,False,0.00
pay_9009,ORD_5009,2026-09-07T06:00:00,CAPTURED,2746.25,54.93,9.89,0.00,False,0.00
pay_9010,ORD_5010,2026-09-07T06:00:00,CAPTURED,2974.00,89.22,16.06,0.00,True,2868.72
pay_9011,ORD_5011,2026-09-07T06:00:00,CAPTURED,3201.75,64.04,11.53,0.00,True,3126.18
pay_9012,ORD_5012,2026-09-07T06:00:00,CAPTURED,3429.50,68.59,12.35,0.00,True,3348.56
pay_9013,ORD_5013,2026-09-07T06:00:00,FAILED_BANK_DEBIT,0.00,0.00,0.00,0.00,False,0.00
pay_9014,ORD_5014,2026-09-07T06:00:00,CAPTURED,3885.00,77.70,13.99,0.00,True,3793.31
pay_9015,ORD_5015,2026-09-07T06:00:00,CAPTURED,3537.00,70.74,12.73,450.00,True,3003.53
pay_9016,ORD_5016,2026-09-07T06:00:00,CAPTURED,3764.75,75.30,13.55,450.00,True,3225.90
pay_9017,ORD_5017,2026-09-07T06:00:00,CAPTURED,3992.50,79.85,14.37,0.00,True,3898.28
pay_9018,ORD_5018,2026-09-07T06:00:00,CAPTURED,4220.25,84.41,15.19,0.00,True,4120.65
pay_9019,ORD_5019,2026-09-07T06:00:00,CAPTURED,4448.00,133.44,24.02,0.00,True,4290.54
pay_9020,ORD_5020,2026-09-07T06:00:00,CAPTURED,4675.75,93.52,16.83,0.00,True,4565.40
pay_9021,ORD_5021,2026-09-07T06:00:00,CAPTURED,4903.50,98.07,17.65,0.00,True,4787.78
pay_9022,ORD_5022,2026-09-07T06:00:00,CAPTURED,4555.50,91.11,16.40,0.00,True,4447.99
pay_9023,ORD_5023,2026-09-07T06:00:00,CAPTURED,4783.25,95.67,17.22,0.00,True,4520.36
pay_9024,ORD_5024,2026-09-07T06:00:00,CAPTURED,5011.00,100.22,18.04,0.00,True,4892.74
pay_9025,ORD_5025,2026-09-07T06:00:00,CAPTURED,5238.75,104.78,18.86,0.00,True,5115.11
pay_9026,ORD_5026,2026-09-07T06:00:00,DISPUTED,5466.50,109.33,19.68,0.00,False,0.00
pay_9027,ORD_5027,2026-09-07T06:00:00,CAPTURED,5694.25,113.89,20.50,0.00,True,5559.86
pay_9028,ORD_5028,2026-09-07T06:00:00,CAPTURED,5922.00,177.66,31.98,0.00,True,5712.36
