payment_id,order_id,settled_at,gateway_status,captured_amount,fee,tax,refund_amount,is_settlement_eligible,net_settlement
pay_10003,ORD_6003,2026-09-08T06:00:00,CAPTURED,1955.50,39.11,7.04,0.00,True,1909.35
pay_10004,ORD_6004,2026-09-08T06:00:00,CAPTURED,2183.25,43.67,7.86,0.00,True,2131.72
pay_10005,ORD_6005,2026-09-08T06:00:00,CAPTURED,2411.00,48.22,8.68,0.00,True,2354.10
pay_10006,ORD_6006,2026-09-08T06:00:00,CAPTURED,2638.75,52.78,9.50,0.00,True,2576.47
pay_10007,ORD_6007,2026-09-08T06:00:00,CAPTURED,2866.50,57.33,10.32,0.00,True,2798.85
pay_10008,ORD_6008,2026-09-08T06:00:00,CAPTURED,2518.50,50.37,9.07,0.00,False,0.00
pay_10009,ORD_6009,2026-09-08T06:00:00,CAPTURED,2746.25,54.93,9.89,0.00,False,0.00
pay_10010,ORD_6010,2026-09-08T06:00:00,CAPTURED,2974.00,89.22,16.06,0.00,True,2868.72
pay_10011,ORD_6011,2026-09-08T06:00:00,CAPTURED,3201.75,64.04,11.53,0.00,True,3126.18
pay_10012,ORD_6012,2026-09-08T06:00:00,CAPTURED,3429.50,68.59,12.35,0.00,True,3348.56
pay_10013,ORD_6013,2026-09-08T06:00:00,FAILED_BANK_DEBIT,0.00,0.00,0.00,0.00,False,0.00
pay_10014,ORD_6014,2026-09-08T06:00:00,CAPTURED,3885.00,77.70,13.99,0.00,True,3793.31
pay_10015,ORD_6015,2026-09-08T06:00:00,CAPTURED,3537.00,70.74,12.73,450.00,True,3003.53
pay_10016,ORD_6016,2026-09-08T06:00:00,CAPTURED,3764.75,75.30,13.55,450.00,True,3225.90
pay_10017,ORD_6017,2026-09-08T06:00:00,CAPTURED,3992.50,79.85,14.37,0.00,True,3898.28
pay_10018,ORD_6018,2026-09-08T06:00:00,CAPTURED,4220.25,84.41,15.19,0.00,True,4120.65
pay_10019,ORD_6019,2026-09-08T06:00:00,CAPTURED,4448.00,133.44,24.02,0.00,True,4290.54
pay_10020,ORD_6020,2026-09-08T06:00:00,CAPTURED,4675.75,93.52,16.83,0.00,True,4565.40
pay_10021,ORD_6021,2026-09-08T06:00:00,CAPTURED,4903.50,98.07,17.65,0.00,True,4787.78
pay_10022,ORD_6022,2026-09-08T06:00:00,CAPTURED,4555.50,91.11,16.40,0.00,True,4447.99
pay_10023,ORD_6023,2026-09-08T06:00:00,CAPTURED,4783.25,95.67,17.22,0.00,True,4520.36
pay_10024,ORD_6024,2026-09-08T06:00:00,CAPTURED,5011.00,100.22,18.04,0.00,True,4892.74
pay_10025,ORD_6025,2026-09-08T06:00:00,CAPTURED,5238.75,104.78,18.86,0.00,True,5115.11
pay_10026,ORD_6026,2026-09-08T06:00:00,DISPUTED,5466.50,109.33,19.68,0.00,False,0.00
pay_10027,ORD_6027,2026-09-08T06:00:00,CAPTURED,5694.25,113.89,20.50,0.00,True,5559.86
pay_10028,ORD_6028,2026-09-08T06:00:00,CAPTURED,5922.00,177.66,31.98,0.00,True,5712.36
pay_10029,ORD_6029,2026-09-08T06:00:00,CAPTURED,5574.00,111.48,20.07,0.00,True,5442.45
pay_10030,ORD_6030,2026-09-08T06:00:00,CAPTURED,5801.75,116.04,20.89,0.00,True,5664.82
pay_10031,ORD_6031,2026-09-08T06:00:00,CAPTURED,6029.50,120.59,21.71,0.00,True,5887.20
pay_10032,ORD_6032,2026-09-08T06:00:00,CAPTURED,6257.25,125.15,22.53,0.00,True,6109.57
pay_10033,ORD_6033,2026-09-08T06:00:00,CAPTURED,6485.00,129.70,23.35,0.00,True,6331.95
pay_10034,ORD_6034,2026-09-08T06:00:00,CAPTURED,6712.75,134.26,24.17,0.00,True,6554.32
pay_10035,ORD_6035,2026-09-08T06:00:00,CAPTURED,6940.50,138.81,24.99,0.00,True,6776.70
pay_10036,ORD_6036,2026-09-08T06:00:00,CAPTURED,6592.50,131.85,23.73,0.00,True,6436.92
pay_10037,ORD_6037,2026-09-08T06:00:00,CAPTURED,6820.25,204.61,36.83,0.00,True,6578.81
pay_10038,ORD_6038,2026-09-08T06:00:00,CAPTURED,7048.00,140.96,25.37,0.00,True,6881.67
pay_10039,ORD_6039,2026-09-08T06:00:00,CAPTURED,7275.75,145.52,26.19,0.00,True,7104.04
pay_10040,ORD_6040,2026-09-08T06:00:00,CAPTURED,7503.50,150.07,27.01,0.00,True,7326.42
pay_10041,ORD_6041,2026-09-08T06:00:00,CAPTURED,7731.25,154.63,27.83,0.00,True,7548.79
pay_10042,ORD_6042,2026-09-08T06:00:00,CAPTURED,7959.00,159.18,28.65,0.00,True,7771.17
pay_10043,ORD_6043,2026-09-08T06:00:00,CAPTURED,7611.00,152.22,27.40,0.00,True,7431.38
pay_10044,ORD_6044,2026-09-08T06:00:00,CAPTURED,7838.75,156.78,28.22,0.00,True,7653.75
pay_10045,ORD_6045,2026-09-08T06:00:00,CAPTURED,8066.50,161.33,29.04,0.00,True,7876.13
pay_10046,ORD_6046,2026-09-08T06:00:00,CAPTURED,8294.25,248.83,44.79,0.00,True,8000.63
pay_10047,ORD_6047,2026-09-08T06:00:00,CAPTURED,8522.00,170.44,30.68,0.00,True,8320.88
pay_10048,ORD_6048,2026-09-08T06:00:00,CAPTURED,8749.75,175.00,31.50,0.00,True,8543.25
pay_10049,ORD_6049,2026-09-08T06:00:00,CAPTURED,8977.50,179.55,32.32,0.00,True,8765.63
pay_10050,ORD_6050,2026-09-08T06:00:00,CAPTURED,8629.50,172.59,31.07,0.00,True,8425.84
